epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,9577.79,1.37723,0.72484,1.24498,0.85443,0.82729,0.85757,0.50819,1.35921,0.75854,1.32862,0.000909688,0.000909688,0.000909688
24,9992.19,1.38131,0.72375,1.24302,0.83905,0.82302,0.85565,0.50688,1.36005,0.77865,1.32807,0.000894219,0.000894219,0.000894219
25,10406.7,1.36994,0.7254,1.23481,0.84866,0.8165,0.86192,0.51106,1.35374,0.74183,1.32301,0.00087875,0.00087875,0.00087875
26,10824.1,1.3639,0.71448,1.23814,0.86029,0.81548,0.86003,0.50976,1.35534,0.77282,1.32215,0.000863281,0.000863281,0.000863281
27,11239.6,1.3719,0.71792,1.23784,0.84312,0.79495,0.84719,0.50846,1.36026,0.75668,1.3294,0.000847813,0.000847813,0.000847813
28,11654.2,1.35502,0.69467,1.22943,0.86473,0.82167,0.86314,0.5121,1.34647,0.74218,1.32504,0.000832344,0.000832344,0.000832344
29,12068.8,1.34619,0.70353,1.23673,0.84248,0.81156,0.8532,0.50651,1.36627,0.7723,1.32686,0.000816875,0.000816875,0.000816875
30,12483,1.34411,0.70264,1.23489,0.87396,0.81323,0.8627,0.51272,1.35573,0.75296,1.32271,0.000801406,0.000801406,0.000801406
31,12898,1.35917,0.69422,1.22524,0.8806,0.81966,0.87152,0.51752,1.35093,0.74066,1.31344,0.000785938,0.000785938,0.000785938
32,13312.5,1.34528,0.69521,1.2263,0.84586,0.82,0.85979,0.50933,1.36104,0.75781,1.32434,0.000770469,0.000770469,0.000770469
33,13743.8,1.33647,0.69867,1.22589,0.8561,0.83052,0.86765,0.5182,1.34792,0.74998,1.32357,0.000755,0.000755,0.000755
34,14159,1.33873,0.68879,1.22071,0.85205,0.83436,0.86589,0.51405,1.35532,0.73887,1.31957,0.000739531,0.000739531,0.000739531
35,14571.9,1.32511,0.67757,1.21865,0.85401,0.82495,0.86611,0.51805,1.3533,0.74043,1.32364,0.000724062,0.000724062,0.000724062
36,14986,1.33357,0.68643,1.21958,0.84798,0.83122,0.86436,0.51945,1.3582,0.75356,1.32255,0.000708594,0.000708594,0.000708594
37,15401.4,1.33581,0.68254,1.21228,0.8448,0.82407,0.85887,0.51171,1.34538,0.75205,1.31468,0.000693125,0.000693125,0.000693125
38,15816.5,1.32684,0.67621,1.21139,0.85066,0.82739,0.85328,0.51051,1.35414,0.746,1.32494,0.000677656,0.000677656,0.000677656
39,16230.7,1.32457,0.66926,1.21287,0.84756,0.8288,0.86352,0.51762,1.35526,0.75271,1.31824,0.000662188,0.000662188,0.000662188
40,16645.8,1.32401,0.6717,1.2057,0.84468,0.81692,0.85869,0.51349,1.3545,0.74072,1.32846,0.000646719,0.000646719,0.000646719
41,17059.1,1.31793,0.66895,1.20962,0.84254,0.82891,0.85931,0.51903,1.34358,0.74273,1.3131,0.00063125,0.00063125,0.00063125
42,17472.5,1.3249,0.67092,1.20753,0.86306,0.81325,0.863,0.51283,1.35208,0.73283,1.32957,0.000615781,0.000615781,0.000615781
43,17886.5,1.31618,0.66577,1.20178,0.84068,0.82825,0.85447,0.51682,1.34236,0.74079,1.31316,0.000600313,0.000600313,0.000600313
44,18300.2,1.30861,0.65768,1.19685,0.84844,0.8165,0.85495,0.51146,1.35009,0.74307,1.3141,0.000584844,0.000584844,0.000584844
45,18712.7,1.30252,0.6539,1.20253,0.84796,0.81997,0.86058,0.51741,1.3491,0.735,1.32415,0.000569375,0.000569375,0.000569375
46,19126.5,1.31894,0.65639,1.20463,0.86606,0.80362,0.85897,0.51435,1.35339,0.72984,1.32728,0.000553906,0.000553906,0.000553906
47,19540.8,1.3033,0.64719,1.19573,0.86839,0.82156,0.86643,0.52482,1.34242,0.72826,1.31213,0.000538438,0.000538438,0.000538438
48,19954.8,1.3057,0.64459,1.18789,0.85471,0.82553,0.85987,0.51789,1.34542,0.73277,1.3139,0.000522969,0.000522969,0.000522969
